step,loss,grad_norm,sigma_min,sigma_mean,rho_max,rho_min,rho_mean,eos_mean
37,3.8810970783233643,1.5994096994400024,0.339923620223999,1.0202057361602783,0.7950127720832825,-0.7950127720832825,-0.005299904849380255,0.4818491041660309
38,3.8756697177886963,1.5813167095184326,0.36990535259246826,1.0203975439071655,0.7430756092071533,-0.728813648223877,-0.005665407050400972,0.4802146852016449
39,3.882563829421997,1.5554097890853882,0.3385516405105591,1.0205858945846558,0.7413533926010132,-0.7413533926010132,-0.006867467891424894,0.47849977016448975
40,3.8640503883361816,1.5281627178192139,0.35729339718818665,1.0187231302261353,0.7465577125549316,-0.7082186341285706,-0.004465590696781874,0.4787673354148865
41,3.8628416061401367,1.5506560802459717,0.36540165543556213,1.0191210508346558,0.7273653745651245,-0.7273653745651245,-0.006238793488591909,0.47637084126472473
42,3.91059947013855,1.5267316102981567,0.35680052638053894,1.0167756080627441,0.7423198819160461,-0.7423198819160461,-0.005301348399370909,0.4739556312561035
43,3.8690028190612793,1.5073257684707642,0.3174045979976654,1.01958167552948,0.7867675423622131,-0.7426138520240784,-0.00579857686534524,0.47314581274986267
44,3.8732099533081055,1.5286616086959839,0.258784681558609,1.0182191133499146,0.7505289316177368,-0.7505289316177368,-0.005025018472224474,0.4699067771434784
45,3.8397281169891357,1.502179741859436,0.33873721957206726,1.0172251462936401,0.7904106974601746,-0.7904106974601746,-0.004643606953322887,0.4707140028476715
46,3.901609182357788,1.4884306192398071,0.34925636649131775,1.016567349433899,0.7378593683242798,-0.7378593683242798,-0.00534008489921689,0.4673430919647217
47,3.8611042499542236,1.5138174295425415,0.3107808828353882,1.0171315670013428,0.7568713426589966,-0.7316488027572632,-0.004577562678605318,0.46283361315727234
48,3.8474628925323486,1.4797831773757935,0.34132638573646545,1.0152472257614136,0.804592490196228,-0.804592490196228,-0.005221819970756769,0.4619008004665375
49,3.8545119762420654,1.50564706325531,0.22668597102165222,1.0163744688034058,0.8467226624488831,-0.8467226624488831,-0.004162983503192663,0.46266165375709534
50,3.8258121013641357,1.4993103742599487,0.3457109332084656,1.0151562690734863,0.7329371571540833,-0.7329371571540833,-0.004321972373872995,0.45621931552886963
51,3.8314995765686035,1.4605388641357422,0.3575325012207031,1.013263463973999,0.7678933143615723,-0.7203865051269531,-0.0031959619373083115,0.46063485741615295
52,3.83699631690979,1.470865249633789,0.34684431552886963,1.0124841928482056,0.764361560344696,-0.7463136911392212,-0.0023857031483203173,0.4566667079925537
53,3.8498263359069824,1.4684652090072632,0.3495017886161804,1.0130101442337036,0.7445511221885681,-0.7445511221885681,-0.0033347660209983587,0.45384883880615234
54,3.8398773670196533,1.4797762632369995,0.35674262046813965,1.012622594833374,0.7707659602165222,-0.7707659602165222,-0.002964264014735818,0.45083993673324585
55,3.7975237369537354,1.451392412185669,0.34578225016593933,1.0114490985870361,0.7619133591651917,-0.7619133591651917,-0.0023401754442602396,0.45423564314842224
56,3.82015323638916,1.4483698606491089,0.33604562282562256,1.0111358165740967,0.7673273682594299,-0.7381830215454102,-0.0021000585984438658,0.4452897012233734
57,3.845205068588257,1.402228593826294,0.35262173414230347,1.010676383972168,0.7667198777198792,-0.7418814301490784,-0.002948520937934518,0.44452595710754395
58,3.8602993488311768,1.4188634157180786,0.35150468349456787,1.0098637342453003,0.759869396686554,-0.7446522116661072,-0.0037685800343751907,0.43751657009124756
59,3.787214994430542,1.4428319931030273,0.3323807120323181,1.0091779232025146,0.7529304027557373,-0.7529304027557373,-0.0017267767107114196,0.44061243534088135
60,3.7934463024139404,1.4200025796890259,0.3471323251724243,1.0094877481460571,0.7706772685050964,-0.7341415286064148,-0.0024137403815984726,0.43822938203811646
61,3.7647705078125,1.4057559967041016,0.25425758957862854,1.0061360597610474,0.7578879594802856,-0.7578879594802856,-0.001337501686066389,0.4350126087665558
62,3.7865257263183594,1.4139028787612915,0.3349538743495941,1.0069581270217896,0.7444133162498474,-0.7419284582138062,-0.002071654424071312,0.4299391210079193
63,3.7524962425231934,1.413098692893982,0.3336561918258667,1.0060572624206543,0.7689154744148254,-0.7689154744148254,-0.0018331112805753946,0.4274192154407501
64,3.747530460357666,1.3684980869293213,0.33623191714286804,1.005061149597168,0.7583625912666321,-0.7583625912666321,-0.0014565609162673354,0.42837396264076233
65,3.7615833282470703,1.3878694772720337,0.3571326434612274,1.0057235956192017,0.7651585936546326,-0.7651585936546326,-0.00048603647155687213,0.4230692982673645
66,3.696211338043213,1.413514256477356,0.33758750557899475,1.0032206773757935,0.7408334612846375,-0.7408334612846375,0.0005706968950107694,0.42035162448883057
67,3.7411820888519287,1.3755501508712769,0.25738030672073364,1.0032660961151123,0.774907112121582,-0.774907112121582,0.0009250888833776116,0.4166855812072754
68,3.7321317195892334,1.388198971748352,0.35565871000289917,1.0023349523544312,0.7518010139465332,-0.7518010139465332,-0.0003085891657974571,0.4209389388561249
69,3.732074022293091,1.374743938446045,0.3168231248855591,1.0023802518844604,0.7629253268241882,-0.7176191210746765,0.0012830629711970687,0.4138980209827423
70,3.716115713119507,1.382912278175354,0.3416977524757385,1.0000683069229126,0.751082181930542,-0.7480905652046204,0.0023984070867300034,0.4105049669742584
71,3.6752398014068604,1.381037950515747,0.32998156547546387,0.9975989460945129,0.7597551941871643,-0.74131840467453,0.003194142132997513,0.39947494864463806
72,3.6917006969451904,1.347908616065979,0.34137287735939026,0.994110107421875,0.760105550289154,-0.7484434247016907,0.003997495863586664,0.3938019275665283
73,3.6810576915740967,1.3526089191436768,0.3287981152534485,0.9953292608261108,0.8088954091072083,-0.7193193435668945,0.004342295229434967,0.3987158238887787
74,3.6937332153320312,1.3255321979522705,0.260661244392395,0.9932732582092285,0.7725712060928345,-0.7385962605476379,0.006160511635243893,0.39005497097969055
75,3.6774418354034424,1.3202447891235352,0.2668510973453522,0.9924075603485107,0.7649182081222534,-0.7616662979125977,0.004979751072824001,0.3910406529903412
76,3.674272298812866,1.3029382228851318,0.3041906952857971,0.9921717047691345,0.7572535276412964,-0.7546741366386414,0.005771351046860218,0.38825371861457825
77,3.6351561546325684,1.308132290840149,0.3274400234222412,0.9896602630615234,0.8106586933135986,-0.7407578825950623,0.006195561029016972,0.3794655203819275
78,3.6770243644714355,1.2742301225662231,0.3208696246147156,0.9896224737167358,0.7494204640388489,-0.735143780708313,0.007903574965894222,0.3810986280441284
79,3.6265804767608643,1.3086047172546387,0.33554336428642273,0.9889958500862122,0.7626209855079651,-0.7626209855079651,0.008296211250126362,0.3745371103286743
80,3.6086056232452393,1.2866308689117432,0.3344567120075226,0.9850651025772095,0.7925339341163635,-0.7217512130737305,0.0088405916467309,0.3686782419681549
81,3.6045010089874268,1.278139591217041,0.31385689973831177,0.9829211235046387,0.7697442770004272,-0.7472410798072815,0.009522104635834694,0.3562576174736023
82,3.601372718811035,1.278967261314392,0.32479292154312134,0.982180655002594,0.7942971587181091,-0.7942971587181091,0.010930410586297512,0.36274656653404236
83,3.581268787384033,1.2686097621917725,0.3254108428955078,0.9800752997398376,0.7725208401679993,-0.7725208401679993,0.010935853235423565,0.3566843271255493
84,3.572683572769165,1.252442479133606,0.300491601228714,0.9774657487869263,0.7730280160903931,-0.7297270894050598,0.013709868304431438,0.3440248966217041
85,3.5490615367889404,1.2505556344985962,0.3082500696182251,0.9740496277809143,0.7710809707641602,-0.7335015535354614,0.014846130274236202,0.3403019309043884
