Wall time,Step,Value
1768367332.634226,0,-0.00040875867125578225
1768367336.317676,1,0.00028913732967339456
1768367339.941472,2,-0.0008612667443230748
1768367343.691154,3,0.0002673514827620238
1768367347.477566,4,0.0005262154154479504
1768367351.24606,5,-0.0014368238626047969
1768367354.99051,6,-1.646081182116177e-05
1768367358.690538,7,0.001236774493008852
1768367362.439154,8,2.320786370546557e-05
1768367366.161546,9,-0.0002601146697998047
1768367369.940969,10,0.0003584479563869536
1768367373.657601,11,0.0008941983105614781
1768367377.414038,12,0.001965257106348872
1768367381.186302,13,0.00176519644446671
1768367384.96756,14,0.0011999834096059203
1768367388.672148,15,0.0009939204901456833
1768367392.435821,16,0.0035782328341156244
1768367396.175867,17,0.004646615125238895
1768367399.932978,18,0.0029800457414239645
1768367403.616993,19,0.0036238152533769608
1768367407.339137,20,0.004101274069398642
1768367411.05862,21,0.005104628391563892
1768367414.648794,22,0.005496129393577576
1768367418.326597,23,0.005569451488554478
1768367422.066887,24,0.006668170914053917
1768367425.811597,25,0.0054196459241211414
1768367429.457826,26,0.009246552363038063
1768367433.137105,27,0.007891659624874592
1768367436.891345,28,0.010046624578535557
1768367440.595849,29,0.01019413210451603
1768367444.273489,30,0.010957874357700348
1768367447.94466,31,0.01230701059103012
1768367451.559781,32,0.013619261793792248
1768367455.249998,33,0.014494412578642368
1768367458.938809,34,0.015788057819008827
1768367462.69722,35,0.015192112885415554
1768367466.44964,36,0.01922549307346344
1768367470.159847,37,0.01974453032016754
1768367473.902497,38,0.02189810387790203
1768367477.627716,39,0.023974504321813583
1768367481.395959,40,0.022549087181687355
1768367485.131383,41,0.027564676478505135
1768367488.883727,42,0.02921793796122074
1768367492.641949,43,0.030312512069940567
1768367496.384591,44,0.03690816089510918
1768367500.127227,45,0.03431779146194458
1768367503.823924,46,0.03811038285493851
1768367507.484319,47,0.043726690113544464
1768367511.226354,48,0.0423378050327301
1768367514.962835,49,0.04703693091869354
1768367518.6887,50,0.059042323380708694
1768367522.399222,51,0.06136510148644447
1768367526.121224,52,0.06118463724851608
1768367529.870842,53,0.07085481286048889
1768367533.648872,54,0.07654272764921188
1768367537.287582,55,0.07912758737802505
1768367541.063657,56,0.08632631599903107
1768367544.722864,57,0.09775488078594208
1768367548.393647,58,0.10190512239933014
1768367552.075792,59,0.1080138236284256
1768367555.785836,60,0.12389331310987473
1768367559.480957,61,0.12679120898246765
1768367563.167837,62,0.1344582885503769
1768367566.902396,63,0.1396930068731308
1768367570.572916,64,0.14410357177257538
1768367574.167005,65,0.15078578889369965
1768367577.837728,66,0.1534540057182312
1768367581.584193,67,0.16798442602157593
1768367585.256012,68,0.16996371746063232
1768367588.940626,69,0.17054516077041626
1768367592.69246,70,0.17400971055030823
1768367596.395654,71,0.177824929356575
1768367600.1591,72,0.1856202334165573
1768367603.909445,73,0.18226255476474762
1768367607.556071,74,0.1908716857433319
1768367611.239755,75,0.19161531329154968
1768367614.885359,76,0.19443254172801971
1768367618.568484,77,0.1978142261505127
1768367622.191677,78,0.19775882363319397
1768367625.902826,79,0.19834567606449127
1768367629.608737,80,0.1992640197277069
1768367633.297031,81,0.20238140225410461
1768367637.01116,82,0.20286700129508972
1768367640.675144,83,0.2038084864616394
1768367644.314252,84,0.20288944244384766
1768367647.997563,85,0.20614661276340485
1768367651.727582,86,0.20648258924484253
1768367655.466382,87,0.2062562257051468
1768367659.164632,88,0.20598062872886658
1768367662.921612,89,0.2066740244626999
1768367666.551115,90,0.20739628374576569
1768367670.22365,91,0.20833532512187958
1768367673.910998,92,0.20890690386295319
1768367677.601886,93,0.20922039449214935
1768367681.357447,94,0.2079658955335617
1768367685.04484,95,0.2079630345106125
1768367688.814689,96,0.20737405121326447
1768367692.516786,97,0.20852188766002655
1768367696.154467,98,0.20754475891590118
1768367699.819896,99,0.20826268196105957
1768367703.549425,100,0.20791280269622803
1768367707.222584,101,0.20760789513587952
1768367710.912037,102,0.20719242095947266
1768367714.658783,103,0.20709580183029175
1768367718.37388,104,0.20764605700969696
1768367722.033499,105,0.20713293552398682
1768367725.803096,106,0.2062869668006897
1768367729.525821,107,0.20593373477458954
1768367733.301873,108,0.20620505511760712
1768367736.972557,109,0.20644277334213257
1768367740.692167,110,0.20675766468048096
1768367744.422098,111,0.20643578469753265
1768367748.217717,112,0.20522882044315338
1768367751.962234,113,0.20389071106910706
1768367755.67242,114,0.20364713668823242
1768367759.361413,115,0.20327815413475037
1768367763.078746,116,0.20337165892124176
1768367766.742107,117,0.20200215280056
1768367770.372045,118,0.2009809911251068
1768367774.030001,119,0.19976884126663208
1768367777.759506,120,0.19941259920597076
1768367781.46268,121,0.1982540488243103
1768367785.220986,122,0.19669418036937714
1768367788.992616,123,0.19576527178287506
1768367792.711548,124,0.19571033120155334
1768367796.387857,125,0.19596053659915924
1768367800.142372,126,0.19555920362472534
1768367803.785504,127,0.19538912177085876
1768367807.494204,128,0.19417639076709747
1768367811.211426,129,0.19452723860740662
1768367814.990979,130,0.19464480876922607
1768367818.682097,131,0.19471478462219238
1768367822.342172,132,0.19555620849132538
1768367826.062087,133,0.1960228830575943
1768367829.753276,134,0.1957629770040512
1768367833.47822,135,0.19700095057487488
1768367837.206862,136,0.1968068778514862
1768367840.996637,137,0.1973067671060562
1768367844.775521,138,0.19818545877933502
1768367848.393831,139,0.19955404102802277
