Wall time,Step,Value
1768367332.633232,0,0.7999560832977295
1768367336.317265,1,0.8092007637023926
1768367339.940636,2,0.7754461169242859
1768367343.690307,3,0.8220440149307251
1768367347.476956,4,0.8317845463752747
1768367351.245212,5,0.821710467338562
1768367354.990094,6,0.7961549162864685
1768367358.689789,7,0.799699068069458
1768367362.438393,8,0.8190670609474182
1768367366.16079,9,0.8272446990013123
1768367369.940357,10,0.8281852006912231
1768367373.656998,11,0.804638147354126
1768367377.413431,12,0.7736412286758423
1768367381.185531,13,0.799248218536377
1768367384.966816,14,0.8346604704856873
1768367388.671539,15,0.8086370825767517
1768367392.435068,16,0.8201571702957153
1768367396.175244,17,0.8058004975318909
1768367399.932217,18,0.78773432970047
1768367403.616386,19,0.8300039768218994
1768367407.338375,20,0.8190693855285645
1768367411.057787,21,0.8121501207351685
1768367414.648023,22,0.8258784413337708
1768367418.325839,23,0.8307453989982605
1768367422.066141,24,0.8186659216880798
1768367425.810878,25,0.8213742971420288
1768367429.457425,26,0.7899218201637268
1768367433.136343,27,0.7888016104698181
1768367436.890745,28,0.7870559096336365
1768367440.595015,29,0.8165912628173828
1768367444.272737,30,0.800740659236908
1768367447.944041,31,0.8069669604301453
1768367451.559377,32,0.8467793464660645
1768367455.249164,33,0.8409034013748169
1768367458.938054,34,0.8138460516929626
1768367462.696809,35,0.8314171433448792
1768367466.449232,36,0.7801253199577332
1768367470.15901,37,0.8327133059501648
1768367473.90176,38,0.7949855923652649
1768367477.627114,39,0.8168377876281738
1768367481.395121,40,0.8303799629211426
1768367485.130644,41,0.8463077545166016
1768367488.882981,42,0.8184792399406433
1768367492.64119,43,0.8385452628135681
1768367496.384171,44,0.826270341873169
1768367500.126478,45,0.8287568688392639
1768367503.823331,46,0.8407582640647888
1768367507.483478,47,0.7905852198600769
1768367511.225506,48,0.8236162662506104
1768367514.962233,49,0.8525329232215881
1768367518.687915,50,0.896668553352356
1768367522.398378,51,0.8674024939537048
1768367526.120812,52,0.841110110282898
1768367529.870097,53,0.8612126111984253
1768367533.648259,54,0.8581229448318481
1768367537.286825,55,0.883060872554779
1768367541.06291,56,0.8877898454666138
1768367544.722018,57,0.8921222686767578
1768367548.392894,58,0.9055206775665283
1768367552.075052,59,0.9053939580917358
1768367555.785087,60,0.9124274849891663
1768367559.480115,61,0.9168983697891235
1768367563.167247,62,0.9263392686843872
1768367566.901551,63,0.9234434962272644
1768367570.57251,64,0.9266588687896729
1768367574.166367,65,0.9286789298057556
1768367577.836975,66,0.9329681992530823
1768367581.58344,67,0.9319196343421936
1768367585.255348,68,0.9336571097373962
1768367588.939851,69,0.9351246953010559
1768367592.691851,70,0.9366734027862549
1768367596.39489,71,0.937493085861206
1768367600.15834,72,0.9363794326782227
1768367603.90903,73,0.9369656443595886
1768367607.555659,74,0.9370251893997192
1768367611.238925,75,0.9366626739501953
1768367614.884959,76,0.9366678595542908
1768367618.567868,77,0.9380972385406494
1768367622.191033,78,0.9388489723205566
1768367625.902238,79,0.9378318190574646
1768367629.608112,80,0.937341034412384
1768367633.296443,81,0.9385473728179932
1768367637.010439,82,0.9373077154159546
1768367640.674736,83,0.9363870024681091
1768367644.313403,84,0.9370719790458679
1768367647.996895,85,0.9368184208869934
1768367651.726839,86,0.9362210035324097
1768367655.465789,87,0.9377799034118652
1768367659.164039,88,0.9374227523803711
1768367662.921023,89,0.937110960483551
1768367666.550712,90,0.9368756413459778
1768367670.222906,91,0.9347142577171326
1768367673.910585,92,0.9354082345962524
1768367677.601237,93,0.9353755116462708
1768367681.356844,94,0.9335136413574219
1768367685.044,95,0.9347935318946838
1768367688.814025,96,0.935280442237854
1768367692.516039,97,0.9328876733779907
1768367696.153709,98,0.9341720938682556
1768367699.819065,99,0.9322549104690552
1768367703.54902,100,0.9343886375427246
1768367707.221741,101,0.9338014721870422
1768367710.911191,102,0.9344854950904846
1768367714.658038,103,0.9318809509277344
1768367718.373092,104,0.9314888119697571
1768367722.032753,105,0.9314619898796082
1768367725.802253,106,0.931367814540863
1768367729.525418,107,0.9311281442642212
1768367733.301463,108,0.9312195777893066
1768367736.971704,109,0.931244969367981
1768367740.691424,110,0.9304699301719666
1768367744.421355,111,0.9312430024147034
1768367748.216961,112,0.9314162135124207
1768367751.961634,113,0.9308922290802002
1768367755.67156,114,0.9277675151824951
1768367759.360583,115,0.9325422644615173
1768367763.077986,116,0.9309548139572144
1768367766.74145,117,0.92966628074646
1768367770.371282,118,0.9315825700759888
1768367774.029274,119,0.9296168088912964
1768367777.758777,120,0.9293350577354431
1768367781.46218,121,0.9288569092750549
1768367785.220226,122,0.931186854839325
1768367788.991859,123,0.931618869304657
1768367792.710706,124,0.9356042742729187
1768367796.387012,125,0.9309217929840088
1768367800.141968,126,0.9309263229370117
1768367803.784659,127,0.9305179715156555
1768367807.493464,128,0.9324750304222107
1768367811.210597,129,0.9343320727348328
1768367814.990579,130,0.9307661056518555
1768367818.681254,131,0.93329256772995
1768367822.341426,132,0.9360865354537964
1768367826.061421,133,0.9331215023994446
1768367829.75243,134,0.9311021566390991
1768367833.47762,135,0.9333019852638245
1768367837.206114,136,0.9310858845710754
1768367840.995867,137,0.9322701096534729
1768367844.774923,138,0.933923065662384
1768367848.393414,139,0.9291623830795288
1768367852.003025,140,0.9317081570625305
1768367855.725088,141,0.9317604303359985
1768367859.459954,142,0.9321137070655823
1768367863.140334,143,0.930453360080719
1768367866.761393,144,0.9321454167366028
1768367870.37471,145,0.9344215989112854
1768367874.124218,146,0.9357993006706238
1768367877.881829,147,0.9352672696113586
1768367881.585455,148,0.9330074787139893
1768367885.258798,149,0.9340818524360657
1768367888.964042,150,0.9336720705032349
1768367892.700423,151,0.9333184361457825
1768367896.453138,152,0.9355376958847046
1768367900.184937,153,0.9339592456817627
1768367903.912726,154,0.9360758662223816
1768367907.586618,155,0.9371820092201233
1768367911.337348,156,0.9361613988876343
1768367915.037021,157,0.9378312826156616
1768367918.804925,158,0.939179003238678
1768367922.490351,159,0.9398544430732727
1768367926.197194,160,0.9392260909080505
1768367929.847361,161,0.939433753490448
1768367933.583706,162,0.9378594756126404
1768367937.306672,163,0.9392246603965759
1768367940.925711,164,0.9392634630203247
1768367944.525612,165,0.938642144203186
1768367948.256429,166,0.9396867752075195
1768367951.990921,167,0.9406156539916992
1768367955.660487,168,0.9398770332336426
1768367959.414103,169,0.9393631815910339
1768367963.174981,170,0.9389294981956482
1768367966.894637,171,0.9403432607650757
1768367970.647477,172,0.9393585920333862
1768367974.301748,173,0.9392125010490417
1768367977.999201,174,0.9384695291519165
1768367981.79081,175,0.9395076632499695
1768367985.400643,176,0.9393778443336487
1768367989.142662,177,0.9393236041069031
1768367992.855138,178,0.9397538900375366
1768367996.539588,179,0.939870297908783
1768368000.231573,180,0.9398132562637329
1768368004.004199,181,0.9390901923179626
1768368007.70607,182,0.9386687874794006
1768368011.458032,183,0.9393658638000488
1768368015.184809,184,0.9396438598632812
1768368018.886928,185,0.939175009727478
1768368022.577853,186,0.9394276738166809
1768368026.269655,187,0.9400516748428345
1768368029.92484,188,0.9408316612243652
1768368033.623331,189,0.9392111897468567
1768368037.405269,190,0.9405311346054077
1768368041.059469,191,0.940740704536438
1768368044.715686,192,0.9407064914703369
1768368048.407208,193,0.9405362010002136
1768368052.010259,194,0.9393706917762756
1768368055.703102,195,0.9396880269050598
1768368059.375925,196,0.9392341375350952
1768368063.123835,197,0.9413881301879883
1768368066.807866,198,0.940268874168396
1768368070.473653,199,0.9403325319290161
1768368074.212966,200,0.9411085844039917
1768368077.971114,201,0.940229058265686
1768368081.653481,202,0.9410313367843628
1768368085.411657,203,0.9421917200088501
1768368089.111047,204,0.942592203617096
1768368092.809735,205,0.9426484107971191
1768368096.565731,206,0.9426756501197815
1768368100.334599,207,0.9433153867721558
1768368104.099141,208,0.943676769733429
1768368107.830411,209,0.9434210062026978
1768368111.558552,210,0.944309651851654
1768368115.215862,211,0.9441625475883484
1768368118.959455,212,0.9444561004638672
1768368122.686263,213,0.9450878500938416
1768368126.360744,214,0.9450718760490417
1768368130.088263,215,0.9449366331100464
1768368133.798564,216,0.9448621273040771
1768368137.496278,217,0.9453920722007751
1768368141.195752,218,0.9457054734230042
1768368144.814492,219,0.9454435110092163
1768368148.544844,220,0.9454870820045471
1768368152.245995,221,0.9457924365997314
1768368155.88985,222,0.945972740650177
1768368159.455461,223,0.9461169838905334
1768368163.17241,224,0.9464195966720581
1768368166.882168,225,0.9464734792709351
1768368170.60291,226,0.9463632106781006
1768368174.231698,227,0.9464799761772156
1768368177.9379,228,0.9467225074768066
1768368181.621175,229,0.9467555284500122
1768368185.310212,230,0.9466854929924011
1768368189.057172,231,0.947003960609436
1768368192.777129,232,0.946880042552948
1768368196.496849,233,0.9475150108337402
1768368200.288097,234,0.9470856785774231
1768368204.067157,235,0.9472629427909851
1768368207.65914,236,0.9472583532333374
1768368211.381858,237,0.9474886059761047
1768368215.088438,238,0.947296142578125
1768368218.778033,239,0.9475982189178467
1768368222.474383,240,0.9473570585250854
1768368226.226847,241,0.9475257396697998
1768368229.998383,242,0.9473929405212402
1768368233.680468,243,0.9475387930870056
1768368237.386714,244,0.9476008415222168
1768368241.123525,245,0.9479549527168274
1768368244.818945,246,0.947723388671875
1768368248.497663,247,0.9477182030677795
1768368252.202948,248,0.9478297829627991
1768368255.902441,249,0.9477130770683289
1768368259.605465,250,0.9477933645248413
1768368263.246165,251,0.9477763175964355
1768368266.923784,252,0.9476498365402222
1768368270.6408,253,0.9476255774497986
1768368274.417326,254,0.9473733305931091
1768368278.170459,255,0.9477261900901794
1768368281.8727,256,0.9474322199821472
1768368285.565838,257,0.947584867477417
1768368289.288245,258,0.9472577571868896
1768368293.046057,259,0.9473190307617188
1768368296.749739,260,0.9473831057548523
1768368300.439217,261,0.9474467039108276
1768368304.198279,262,0.9472352862358093
1768368307.877847,263,0.947106122970581
1768368311.648312,264,0.9473695755004883
1768368315.4346,265,0.9474399089813232
1768368319.21906,266,0.9472634792327881
1768368322.841615,267,0.947333574295044
1768368326.506059,268,0.9472282528877258
1768368330.239741,269,0.9475467801094055
1768368333.965243,270,0.9474149346351624
1768368337.666236,271,0.9476937651634216
1768368341.375438,272,0.9474447965621948
1768368345.076153,273,0.947388231754303
1768368348.79155,274,0.9474532604217529
1768368352.482543,275,0.9475517868995667
1768368356.242358,276,0.9476668238639832
1768368359.966563,277,0.9473532438278198
1768368363.68036,278,0.9474727511405945
1768368367.323227,279,0.9475611448287964
1768368371.020293,280,0.9475379586219788
1768368374.684767,281,0.9475642442703247
1768368378.465257,282,0.947556734085083
1768368382.205021,283,0.9475846290588379
1768368385.893467,284,0.9474897384643555
1768368389.635257,285,0.947735607624054
1768368393.317194,286,0.9478879570960999
1768368396.934426,287,0.9477202892303467
1768368400.641441,288,0.9479007124900818
1768368404.368069,289,0.9480133056640625
1768368408.063419,290,0.9478135704994202
1768368411.71403,291,0.9477429389953613
1768368415.410722,292,0.9478093385696411
1768368418.992544,293,0.9479252099990845
1768368422.54273,294,0.947799026966095
1768368426.224279,295,0.9478232264518738
1768368429.99611,296,0.9477853775024414
1768368433.671155,297,0.9480701088905334
1768368437.286434,298,0.9480442404747009
1768368440.868401,299,0.9481089115142822
1768368444.577489,300,0.9479028582572937
1768368448.387044,301,0.9479063153266907
1768368452.050564,302,0.9480381011962891
1768368455.79823,303,0.9480040073394775
1768368459.492726,304,0.947991132736206
1768368463.215443,305,0.9479497671127319
1768368466.806991,306,0.9479349851608276
