Wall time,Step,Value
1768367332.627919,0,1.812730312347412
1768367336.315323,1,1.6858335733413696
1768367339.937901,2,1.817673683166504
1768367343.687577,3,1.7091865539550781
1768367347.474625,4,1.7794079780578613
1768367351.242479,5,1.7171517610549927
1768367354.988148,6,1.7248034477233887
1768367358.687226,7,1.7747745513916016
1768367362.435805,8,1.7587480545043945
1768367366.15819,9,1.7403913736343384
1768367369.937966,10,1.7011150121688843
1768367373.654494,11,1.757756233215332
1768367377.411127,12,1.6876754760742188
1768367381.183003,13,1.666871190071106
1768367384.964264,14,1.6720784902572632
1768367388.66925,15,1.654815673828125
1768367392.432494,16,1.6592345237731934
1768367396.172914,17,1.6417351961135864
1768367399.929642,18,1.7007427215576172
1768367403.614095,19,1.5993731021881104
1768367407.335802,20,1.5860823392868042
1768367411.055076,21,1.6230762004852295
1768367414.645458,22,1.5669621229171753
1768367418.323269,23,1.587666392326355
1768367422.063582,24,1.6109009981155396
1768367425.80839,25,1.4726903438568115
1768367429.455016,26,1.6073789596557617
1768367433.133768,27,1.5560542345046997
1768367436.888461,28,1.5634102821350098
1768367440.592294,29,1.5185174942016602
1768367444.270171,30,1.5543121099472046
1768367447.941749,31,1.548311471939087
1768367451.557451,32,1.5508464574813843
1768367455.24645,33,1.5075676441192627
1768367458.935487,34,1.5399959087371826
1768367462.694895,35,1.520940899848938
1768367466.447294,36,1.578681230545044
1768367470.156284,37,1.5849393606185913
1768367473.899253,38,1.6055290699005127
1768367477.624826,39,1.6190285682678223
1768367481.392408,40,1.610742211341858
1768367485.128103,41,1.705920934677124
1768367488.880419,42,1.6898897886276245
1768367492.638595,43,1.735445261001587
1768367496.382212,44,1.817441701889038
1768367500.123915,45,1.7858234643936157
1768367503.821053,46,1.8752292394638062
1768367507.480772,47,2.015655040740967
1768367511.222793,48,1.9837517738342285
1768367514.959951,49,2.1362547874450684
1768367518.68536,50,2.374473810195923
1768367522.395666,51,2.5151243209838867
1768367526.118882,52,2.634859800338745
1768367529.867539,53,2.880197048187256
1768367533.645974,54,3.2488341331481934
1768367537.284238,55,3.748199224472046
1768367541.060341,56,4.78049898147583
1768367544.719295,57,4.5411906242370605
1768367548.390324,58,10.279701232910156
1768367552.072543,59,6.294493675231934
1768367555.782493,60,7.310920715332031
1768367559.477391,61,16.42915916442871
1768367563.164956,62,55.210968017578125
1768367566.898832,63,17.853775024414062
1768367570.570565,64,130.16323852539062
1768367574.164003,65,136.45413208007812
1768367577.834391,66,16.58064079284668
1768367581.5809,67,134.85313415527344
1768367585.252958,68,90.10574340820312
1768367588.937286,69,198.98365783691406
1768367592.689575,70,200.21792602539062
1768367596.392367,71,315.2254333496094
1768367600.155758,72,142.7548370361328
1768367603.907096,73,244.2978973388672
1768367607.553734,74,143.21815490722656
1768367611.23623,75,293.1877746582031
1768367614.883042,76,281.111572265625
1768367618.565609,77,396.1052551269531
1768367622.188673,78,141.0760040283203
1768367625.899954,79,284.91558837890625
1768367629.605772,80,126.53722381591797
1768367633.294182,81,299.3525390625
1768367637.007917,82,126.79727172851562
1768367640.672809,83,415.67864990234375
1768367644.310671,84,220.47817993164062
1768367647.994499,85,191.74452209472656
1768367651.72433,86,597.7344360351562
1768367655.463505,87,237.15850830078125
1768367659.161766,88,530.80712890625
1768367662.918764,89,363.41241455078125
1768367666.548711,90,716.0783081054688
1768367670.22036,91,548.5714111328125
1768367673.908646,92,116.7208251953125
1768367677.598857,93,498.0076904296875
1768367681.354541,94,351.53326416015625
1768367685.0413,95,730.1605834960938
1768367688.811629,96,413.0620422363281
1768367692.51349,97,105.10376739501953
1768367696.151141,98,880.5612182617188
1768367699.816373,99,409.37030029296875
1768367703.547094,100,703.6918334960938
1768367707.219023,101,426.4457702636719
1768367710.908465,102,716.6268920898438
1768367714.655511,103,410.41607666015625
1768367718.37053,104,60.63689041137695
1768367722.03023,105,322.4541015625
1768367725.799522,106,30.502113342285156
1768367729.523479,107,400.71307373046875
1768367733.299526,108,211.7554168701172
1768367736.968992,109,340.6973876953125
1768367740.688895,110,172.35057067871094
1768367744.418807,111,97.75453186035156
1768367748.214389,112,428.97186279296875
1768367751.95936,113,212.3411102294922
1768367755.668844,114,362.828125
1768367759.357875,115,131.33456420898438
1768367763.075421,116,62.08002471923828
1768367766.739048,117,493.13848876953125
1768367770.36871,118,116.21879577636719
1768367774.02677,119,414.0031433105469
1768367777.756262,120,234.56883239746094
1768367781.460243,121,661.523193359375
1768367785.217572,122,584.12890625
1768367788.989315,123,221.6841278076172
1768367792.707956,124,431.9979553222656
1768367796.384297,125,389.93072509765625
1768367800.140046,126,473.7119140625
1768367803.781935,127,60.18818664550781
1768367807.490906,128,353.64813232421875
1768367811.207894,129,154.9501190185547
1768367814.988644,130,203.19189453125
1768367818.67852,131,345.36895751953125
1768367822.338866,132,171.08653259277344
1768367826.059014,133,412.5929260253906
1768367829.749704,134,44.149227142333984
1768367833.47535,135,379.7283630371094
1768367837.203567,136,255.72061157226562
1768367840.993294,137,198.05564880371094
1768367844.772644,138,446.2845153808594
1768367848.391124,139,86.69501495361328
1768367852.000456,140,66.61808013916016
1768367855.722534,141,217.7646942138672
1768367859.457578,142,733.3916015625
1768367863.138356,143,450.72894287109375
1768367866.758885,144,861.1564331054688
1768367870.372158,145,805.7868041992188
1768367874.12152,146,149.1005859375
1768367877.879477,147,35.53120803833008
1768367881.582888,148,12.36264705657959
1768367885.256505,149,43.62577438354492
1768367888.961309,150,27.302106857299805
1768367892.698469,151,20.982816696166992
1768367896.451186,152,64.68807220458984
1768367900.182409,153,58.6190299987793
1768367903.910162,154,75.56356811523438
1768367907.584336,155,122.63468933105469
1768367911.334633,156,75.85539245605469
1768367915.034454,157,194.6939697265625
1768367918.802361,158,83.19239044189453
1768367922.488068,159,291.4598083496094
1768367926.194981,160,82.88055419921875
1768367929.844815,161,387.5281982421875
1768367933.58116,162,67.55355072021484
1768367937.304099,163,486.1135559082031
1768367940.92299,164,165.16371154785156
1768367944.523362,165,576.4124145507812
1768367948.253624,166,256.9189758300781
1768367951.988401,167,673.23779296875
1768367955.657795,168,288.5863037109375
1768367959.411571,169,718.097412109375
1768367963.173057,170,328.1900939941406
1768367966.891947,171,789.2068481445312
1768367970.644785,172,346.5181884765625
1768367974.299471,173,812.4183959960938
1768367977.996635,174,372.43695068359375
1768367981.788531,175,827.2180786132812
1768367985.398102,176,450.2629089355469
1768367989.139953,177,877.1860961914062
1768367992.853205,178,381.0847473144531
1768367996.536862,179,808.388916015625
1768368000.229024,180,352.362060546875
1768368004.001493,181,772.1427612304688
1768368007.703516,182,387.7782287597656
1768368011.455488,183,781.2963256835938
1768368015.182091,184,368.4873962402344
1768368018.884574,185,712.272705078125
1768368022.575238,186,310.92901611328125
1768368026.267103,187,668.4359741210938
1768368029.922502,188,225.10009765625
1768368033.621371,189,551.9275512695312
1768368037.402706,190,137.41598510742188
1768368041.056762,191,447.5796203613281
1768368044.713741,192,64.21759033203125
1768368048.404487,193,568.21240234375
1768368052.007973,194,142.73837280273438
1768368055.700607,195,1294.029541015625
1768368059.373666,196,119.39957427978516
1768368063.121293,197,224.04684448242188
1768368066.805324,198,213.84051513671875
1768368070.471755,199,56.28504180908203
1768368074.210677,200,29.95571517944336
1768368077.968847,201,43.27961730957031
1768368081.65156,202,142.40631103515625
1768368085.409153,203,95.37887573242188
1768368089.108484,204,32.32442855834961
1768368092.807448,205,65.8189468383789
1768368096.563471,206,63.732669830322266
1768368100.33206,207,13.01066780090332
1768368104.09644,208,86.39104461669922
1768368107.827855,209,115.34925079345703
1768368111.556083,210,41.191158294677734
1768368115.21355,211,37.99321746826172
1768368118.956761,212,87.37083435058594
1768368122.683901,213,26.117183685302734
1768368126.358841,214,94.7626953125
1768368130.085539,215,173.65663146972656
1768368133.795858,216,138.2552490234375
1768368137.493892,217,271.99609375
1768368141.19294,218,230.90823364257812
1768368144.811966,219,113.61688232421875
1768368148.542125,220,205.605224609375
1768368152.243467,221,63.715545654296875
1768368155.887282,222,116.61773681640625
1768368159.452903,223,127.61357116699219
1768368163.169849,224,131.2063446044922
1768368166.879885,225,147.15106201171875
1768368170.600633,226,110.37688446044922
1768368174.229001,227,76.7496109008789
1768368177.935902,228,186.5814208984375
1768368181.619256,229,199.74705505371094
1768368185.307921,230,25.919879913330078
1768368189.054928,231,37.26116180419922
1768368192.775227,232,286.615478515625
1768368196.494577,233,369.4870300292969
1768368200.285818,234,369.4205017089844
1768368204.06479,235,449.9068298339844
